"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"05031",2021-01-30,1.1697852,NA,NA,9.5552017,NA,73.1385577,35.7122971,64.5707296,0.9717675,44.3979023,57.3431391,22.4113195,36.7404585,17.9797591,67.4805303,NA,NA,NA,NA,32.8363338,83.3785499
"05045",2021-01-30,1.5305977,NA,NA,14.7128725,NA,71.5658502,13.451252,NA,1.0375935,39.1310539,47.3618351,15.5070326,29.6181042,7.733807,75.5095038,NA,NA,NA,NA,55.8286331,95.109966
"05051",2021-01-30,1.3628292,NA,NA,NA,NA,NA,NA,NA,2.2647018,53.0481779,62.765775,39.1490082,50.8381909,31.9572981,NA,NA,NA,NA,NA,65.2805992,NA
"05119",2021-01-30,1.6344242,NA,NA,14.2509934,NA,76.887836,19.4786362,81.2329736,3.29793,29.380452,49.5120948,12.4346135,30.2671844,5.7341893,75.4503503,41.4661163,35.975552,31.2488366,12.2504319,63.7255258,95.6263835
"05125",2021-01-30,1.1639777,NA,NA,16.8066414,NA,70.332066,18.148641,NA,0.6353365,27.8043966,55.1425195,12.325061,20.9416235,7.1854661,NA,NA,NA,NA,NA,58.7709271,NA
"05131",2021-01-30,0.9833697,NA,NA,8.5164714,NA,72.5240275,18.7159833,77.3354836,2.5815183,41.1823113,55.5621418,18.0851358,38.7472832,9.7741702,78.8344139,44.2440618,23.7722538,26.5694065,13.7709092,66.1717779,87.2965381
"05143",2021-01-30,1.2228741,NA,NA,12.4620392,NA,80.4847702,18.8475885,86.0567357,2.18368,34.2120629,52.7369609,15.8055096,31.2106088,6.649996,74.5726991,41.3573065,43.7876417,35.1658125,7.2742712,52.8043268,94.2909471
"06001",2021-01-30,0.5443654,7.0883614,8.7584242,16.0555671,17.8076877,87.139363,9.9240538,95.7485027,3.5396429,24.2398097,45.2302644,4.1124437,20.8194604,2.3169662,72.3477941,41.0199383,50.1192893,42.2337538,14.6946698,31.0065235,97.1176563
"06007",2021-01-30,0.9388479,NA,NA,12.336134,NA,80.2585056,21.7358988,81.4896166,0.9678993,30.1451061,56.091893,12.15781,32.7109351,6.1714006,64.518061,34.2247719,36.6323755,32.567353,12.1155093,32.3661973,92.6986886
"06013",2021-01-30,0.5256105,11.013422,8.3935993,14.4056812,11.1353886,86.5404102,17.0065801,95.0945092,2.2838759,26.0101088,44.9859775,4.2883826,22.6155381,3.5125262,74.3088833,40.1306762,45.5179718,37.0554135,13.7377178,32.8402095,97.328134
"06017",2021-01-30,0.9741559,NA,NA,10.5782907,NA,77.7380217,11.2327652,77.7258616,2.3658229,28.676455,49.6790014,13.8094328,28.6351865,7.2824979,66.9810204,39.8639848,37.5387131,35.0322299,8.8227614,24.5098947,90.8817395
"06019",2021-01-30,1.5922197,9.9994015,14.7793292,17.2621023,28.2358322,75.2051936,15.4022598,88.8583768,2.6155789,27.2332165,49.8075147,6.4770644,26.4823269,6.2588812,75.0111799,37.9290917,40.8687091,30.3116058,12.0911618,49.5259637,95.4213815
"06023",2021-01-30,0.9745685,NA,NA,8.1376489,NA,79.7580292,14.3978488,89.5871772,3.4740442,34.3587236,52.8738885,7.0598825,26.0762873,1.4319361,72.9029462,37.3125347,39.8789152,33.7968774,8.2721816,26.5653725,92.8225246
"06025",2021-01-30,3.9204144,NA,NA,19.7703416,NA,72.6160851,10.6974203,NA,3.0897978,29.5054284,51.8858527,4.1496451,20.4645321,5.1280292,NA,NA,NA,NA,NA,51.7486363,94.0827798
